Accident_ID,FECHA,RANGO HORARIO,DIA SEMANA,DISTRITO,district_code,LUGAR1,latitude,longitude,LUGAR 2,lugar2_code,Nr.,CPFA Hielo,CPFA Lluvia,CPFA Niebla,CPFA Seco,CPFA Nieve,CPSV Mojada,CPSV Aceite,CPSV Grava Suelta,CPSV Seca Y Limpia,Nº VICTIMAS *,TIPO ACCIDENTE,SKOS_TypeAccident,TIPO PERSONA,SEXO,LESIVIDAD,Tramo Edad
2017-1233,05-02-17,12:00-12:59,DOMINGO,Moncloa-Aravaca,https://www.wikidata.org/wiki/Q2017682,calle del Arquitecto Sánchez Arcas,40.45352778,-3.716069444,,,13,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,CAÍDA BICICLETA,/kos/accidentes/caída-bicicleta,CONDUCTOR,HOMBRE,HL                                      ,30-34
2017-1250,07-02-17,9:00-9:59,MARTES,Centro,https://www.wikidata.org/wiki/Q1763376,"Calle de Torija, Madrid",40.42081111,-3.710322222, PLAZA DE LA MARINA ESPAÑOLA,,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,CAÍDA BICICLETA,/kos/accidentes/caída-bicicleta,CONDUCTOR,HOMBRE,HL                                      ,45-49
2017-1368,07-02-17,13:00-13:59,MARTES,Chamberí,https://www.wikidata.org/wiki/Q1763370,rue Zurbarán,40.42953611,-3.692888889,paseo de la Castellana,https://www.wikidata.org/wiki/Q1473674,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,CHOQUE CON OBJETO FIJO,/kos/accidentes/choque-con-objeto-fijo,CONDUCTOR,MUJER,HL                                      ,35-39
2017-1282,07-02-17,22:00-22:59,MARTES,Retiro,https://www.wikidata.org/wiki/Q2002296,avenue Menéndez Pelayo,40.41585833,-3.677958333,,,32,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,CHOQUE CON OBJETO FIJO,/kos/accidentes/choque-con-objeto-fijo,CONDUCTOR,HOMBRE,HG                                      ,45-49
2017-1480,10-02-17,9:00-9:59,VIERNES,Centro,https://www.wikidata.org/wiki/Q1763376,Calle de Preciados,40.41844444,-3.704941667,,,28,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,CAÍDA BICICLETA,/kos/accidentes/caída-bicicleta,CONDUCTOR,MUJER,HL                                      ,30-34
2017-1407,10-02-17,13:00-13:59,VIERNES,Salamanca,https://www.wikidata.org/wiki/Q1773521,Calle de Alcalá,40.4283,-3.66778,,,149,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,COLISIÓN DOBLE,/kos/accidentes/colisión-doble,CONDUCTOR,MUJER,HL                                      ,21-24
2017-1435,12-02-17,00:00-00:59,DOMINGO,Centro,https://www.wikidata.org/wiki/Q1763376,PLAZA DEL EMPERADOR CARLOS V ,,,Ronda de Atocha,https://www.wikidata.org/wiki/Q26831149,0,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,COLISIÓN DOBLE,/kos/accidentes/colisión-doble,CONDUCTOR,HOMBRE,HL                                      ,35-39
2017-1658,14-02-17,8:00-8:59,MARTES,Centro,https://www.wikidata.org/wiki/Q1763376,Calle de Alcalá,40.4283,-3.66778,,,51,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,COLISIÓN DOBLE,/kos/accidentes/colisión-doble,CONDUCTOR,HOMBRE,HL                                      ,55-59
2017-1538,14-02-17,9:00-9:59,MARTES,Salamanca,https://www.wikidata.org/wiki/Q1773521,calle del Alcalde Sáinz de Baranda,40.41675833,-3.673602778,,,92,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,COLISIÓN DOBLE,/kos/accidentes/colisión-doble,CONDUCTOR,HOMBRE,HG                                      ,55-59
2017-1603,15-02-17,8:00-8:59,MIERCOLES,Chamartín,https://www.wikidata.org/wiki/Q1766348,Serrano Street,40.43521667,-3.686513889,,,103,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,CAÍDA BICICLETA,/kos/accidentes/caída-bicicleta,CONDUCTOR,HOMBRE,HL                                      ,18-20
2017-1691,16-02-17,7:00-7:59,JUEVES,Fuencarral-El Pardo,https://www.wikidata.org/wiki/Q656196,calle de Nuestra Señora de Valverde,40.49880556,-3.686477778,,,45,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,COLISIÓN DOBLE,/kos/accidentes/colisión-doble,CONDUCTOR,HOMBRE,HL                                      ,35-39
2017-1674,18-02-17,16:00-16:59,SABADO,Carabanchel,https://www.wikidata.org/wiki/Q1001991,avenida de los Poblados,40.37371667,-3.733897222, CALLE DE LAS CERILLERAS,,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,CAÍDA BICICLETA,/kos/accidentes/caída-bicicleta,CONDUCTOR,HOMBRE,HG                                      ,45-49
2017-1715,19-02-17,13:00-13:59,DOMINGO,Chamberí,https://www.wikidata.org/wiki/Q1763370,"Calle de Santa Feliciana, Madrid",40.43320833,-3.699291667,,,6,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,ATROPELLO,/kos/accidentes/atropello,CONDUCTOR,HOMBRE,IL                                      ,18-20
2017-1723,19-02-17,20:00-20:59,DOMINGO,Tetuán,https://www.wikidata.org/wiki/Q1773540,avenue Asturias,40.46945833,-3.695644444,Sinesio Delgado Street,https://www.wikidata.org/wiki/Q52245452,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,COLISIÓN DOBLE,/kos/accidentes/colisión-doble,CONDUCTOR,HOMBRE,HL                                      ,15-17
2017-1830,22-02-17,19:00-19:59,MIERCOLES,Moncloa-Aravaca,https://www.wikidata.org/wiki/Q2017682,Paseo de Camoens,40.43117778,-3.725802778,,,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,COLISIÓN DOBLE,/kos/accidentes/colisión-doble,CONDUCTOR,HOMBRE,HL                                      ,21-24
2017-1863,24-02-17,19:00-19:59,VIERNES,Chamberí,https://www.wikidata.org/wiki/Q1763370,"Calle de Guzmán el Bueno, Madrid",40.43618333,-3.713077778,calle del General Asensio Cabanillas,https://www.wikidata.org/wiki/Q28362354,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,COLISIÓN DOBLE,/kos/accidentes/colisión-doble,CONDUCTOR,HOMBRE,HG                                      ,30-34
2017-1946,27-02-17,10:00-10:59,LUNES,Chamberí,https://www.wikidata.org/wiki/Q1763370,calle de Zurbano,40.43396111,-3.693244444,boulevard Eduardo Dato,https://www.wikidata.org/wiki/Q20890584,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,COLISIÓN DOBLE,/kos/accidentes/colisión-doble,CONDUCTOR,HOMBRE,HL                                      ,40-44
2017-1994,28-02-17,17:00-17:59,MARTES,Salamanca,https://www.wikidata.org/wiki/Q1773521,rue Goya,40.42496944,-3.679391667,Serrano Street,https://www.wikidata.org/wiki/Q5740879,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,CAÍDA BICICLETA,/kos/accidentes/caída-bicicleta,CONDUCTOR,HOMBRE,HL                                      ,25-29
2017-1970,28-02-17,19:00-19:59,MARTES,Retiro,https://www.wikidata.org/wiki/Q2002296,avenue Menéndez Pelayo,40.41585833,-3.677958333,,,38,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,CAÍDA BICICLETA,/kos/accidentes/caída-bicicleta,CONDUCTOR,HOMBRE,HL                                      ,35-39
