Accident_ID,FECHA,RANGO HORARIO,DIA SEMANA,DISTRITO,district_code,LUGAR 1,coordinate location,lugar1_code,LUGAR 2,lugar2_code,Nº,CPFA Hielo,CPFA Lluvia,CPFA Niebla,CPFA Seco,CPFA Nieve,CPSV Mojada,CPSV Aceite,CPSV Grava Suelta,CPSV Seca Y Limpia,Nº VICTIMAS *,TIPO ACCIDENTE,SKOS_TypeAccident,TIPO PERSONA,SEXO,LESIVIDAD,Tramo Edad
2017-7336,29/07/2017,15:00-15:59,SABADO,Arganzuela,https://www.wikidata.org/wiki/Q2000929,Calle de Embajadores,"40.389625,-3.69205",https://www.wikidata.org/wiki/Q5740826,,,98,false,false,false,true,false,false,false,false,true,2,COLISIÓN DOBLE,/kos/accidentes/colisión-doble,CONDUCTOR,HOMBRE,HL                                      ,55-59
2017-7336,29/07/2017,15:00-15:59,SABADO,Arganzuela,https://www.wikidata.org/wiki/Q2000929,Calle de Embajadores,"40.389625,-3.69205",https://www.wikidata.org/wiki/Q5740826,,,98,false,false,false,true,false,false,false,false,true,2,COLISIÓN DOBLE,/kos/accidentes/colisión-doble,CONDUCTOR,MUJER,HL                                      ,45-49
2017-7371,31/07/2017,20:00-20:59,LUNES,Salamanca,https://www.wikidata.org/wiki/Q1773521,Calle de Alcalá,"40.4283,-3.66778",https://www.wikidata.org/wiki/Q2424746,calle de Velázquez,https://www.wikidata.org/wiki/Q20031523,0,false,false,false,true,false,false,false,false,true,1,COLISIÓN DOBLE,/kos/accidentes/colisión-doble,CONDUCTOR,MUJER,HL                                      ,21-24
2017-7429,31/07/2017,21:00-21:59,LUNES,Centro,https://www.wikidata.org/wiki/Q1763376,Calle de Alcalá,"40.4283,-3.66778",https://www.wikidata.org/wiki/Q2424746,Calle del Marqués de Casa Riera,https://www.wikidata.org/wiki/Q42767177,0,false,false,false,true,false,false,false,false,true,1,ATROPELLO,/kos/accidentes/atropello,CONDUCTOR,HOMBRE,IL                                      ,55-59
2017-7373,31/07/2017,21:00-21:59,LUNES,Hortaleza,https://www.wikidata.org/wiki/Q1928529,Avenida de los Andes,"40.454827777778,-3.6214805555556",https://www.wikidata.org/wiki/Q28997223,,,22,false,false,false,true,false,false,false,false,true,1,COLISIÓN DOBLE,/kos/accidentes/colisión-doble,CONDUCTOR,HOMBRE,HL                                      ,25-29
2017-7383,01/08/2017,8:00-8:59,MARTES,San Blas,https://www.wikidata.org/wiki/Q2001937,avenida de la Institución Libre de Enseñanza,"40.428161111111,-3.6309805555556",https://www.wikidata.org/wiki/Q5740959,,,73,false,false,false,true,false,false,false,false,true,1,CAÍDA BICICLETA,/kos/accidentes/caída-bicicleta,CONDUCTOR,HOMBRE,HL                                      ,40-44
2017-7382,01/08/2017,12:00-12:59,MARTES,Chamartín,https://www.wikidata.org/wiki/Q1766348,Serrano Street,"40.435216666667,-3.6865138888889",https://www.wikidata.org/wiki/Q5740879,,,109,false,false,false,true,false,false,false,false,true,1,CAÍDA BICICLETA,/kos/accidentes/caída-bicicleta,CONDUCTOR,HOMBRE,HG                                      ,35-39
2017-7393,01/08/2017,13:00-13:59,MARTES,Arganzuela,https://www.wikidata.org/wiki/Q2000929,"Calle de Méndez Álvaro, Madrid","40.400911111111,-3.6860861111111",https://www.wikidata.org/wiki/Q5553104,,,21,false,false,false,true,false,false,false,false,true,1,CAÍDA MOTOCICLETA,/kos/accidentes/caída-motocicleta,CONDUCTOR,HOMBRE,IL                                      ,30-34
2017-7407,01/08/2017,17:00-17:59,MARTES,Arganzuela,https://www.wikidata.org/wiki/Q2000929,CALLE DE JOSE ANTONIO DE ARMONA ,,,Paseo de Santa María de la Cabeza,https://www.wikidata.org/wiki/Q6065630,0,false,false,false,true,false,false,false,false,true,1,COLISIÓN DOBLE,/kos/accidentes/colisión-doble,CONDUCTOR,HOMBRE,HL                                      ,25-29
2017-7457,02/08/2017,14:00-14:59,MIERCOLES,Chamartín,https://www.wikidata.org/wiki/Q1766348,"Paseo de La Habana, Madrid","40.457327777778,-3.6812527777778",https://www.wikidata.org/wiki/Q28059068,,,77,false,false,false,true,false,false,false,false,true,1,COLISIÓN DOBLE,/kos/accidentes/colisión-doble,CONDUCTOR,HOMBRE,HL                                      ,18-20
2017-7582,04/08/2017,13:00-13:59,VIERNES,Centro,https://www.wikidata.org/wiki/Q1763376,calle del Barco,"40.422280555556,-3.7025638888889",https://www.wikidata.org/wiki/Q24646728,,,20,false,false,false,true,false,false,false,false,true,1,CAÍDA BICICLETA,/kos/accidentes/caída-bicicleta,CONDUCTOR,HOMBRE,HL                                      ,35-39
2017-7592,05/08/2017,20:00-20:59,SABADO,Centro,https://www.wikidata.org/wiki/Q1763376,San Bernardo street,"40.425722222222,-3.7072194444444",https://www.wikidata.org/wiki/Q5740864,,,86,false,false,false,true,false,false,false,false,true,1,COLISIÓN DOBLE,/kos/accidentes/colisión-doble,CONDUCTOR,MUJER,HL                                      ,21-24
2017-7608,08/08/2017,8:00-8:59,MARTES,Hortaleza,https://www.wikidata.org/wiki/Q1928529,avenida de las Fuerzas Armadas,"40.482227777778,-3.6240888888889",https://www.wikidata.org/wiki/Q29353164, GLORIETA DE JOSE LUIS FERNANDEZ DEL AMO,,0,false,false,false,true,false,false,false,false,true,1,COLISIÓN DOBLE,/kos/accidentes/colisión-doble,CONDUCTOR,MUJER,HL                                      ,15-17
2017-7635,10/08/2017,8:00-8:59,JUEVES,Salamanca,https://www.wikidata.org/wiki/Q1773521,Calle de Alcalá,"40.4283,-3.66778",https://www.wikidata.org/wiki/Q2424746,,,81,false,false,false,true,false,false,false,false,true,1,COLISIÓN DOBLE,/kos/accidentes/colisión-doble,CONDUCTOR,MUJER,HL                                      ,35-39
2017-7756,10/08/2017,21:00-21:59,JUEVES,Tetuán,https://www.wikidata.org/wiki/Q1773540,"Calle de Francos Rodríguez, Madrid","40.457661111111,-3.7108527777778",https://www.wikidata.org/wiki/Q26810988,,,26,false,false,false,true,false,false,false,false,true,1,COLISIÓN DOBLE,/kos/accidentes/colisión-doble,CONDUCTOR,HOMBRE,HL                                      ,21-24
2017-7685,12/08/2017,15:00-15:59,SABADO,Chamartín,https://www.wikidata.org/wiki/Q1766348,paseo de la Castellana,"40.44388889,-3.69138889",https://www.wikidata.org/wiki/Q1473674,,,214,false,false,false,true,false,false,false,false,true,1,COLISIÓN DOBLE,/kos/accidentes/colisión-doble,CONDUCTOR,MUJER,HL                                      ,30-34
2017-7787,12/08/2017,21:00-21:59,SABADO,Centro,https://www.wikidata.org/wiki/Q1763376,Calle de Embajadores,"40.389625,-3.69205",https://www.wikidata.org/wiki/Q5740826,,,6,false,false,false,true,false,false,false,false,true,1,COLISIÓN DOBLE,/kos/accidentes/colisión-doble,CONDUCTOR,HOMBRE,HL                                      ,21-24
2017-7719,14/08/2017,21:00-21:59,LUNES,Moncloa-Aravaca,https://www.wikidata.org/wiki/Q2017682,Cuesta de San Vicente,"40.420622222222,-3.7151083333333",https://www.wikidata.org/wiki/Q5794006,,,20,false,false,false,true,false,false,false,false,true,1,CAÍDA BICICLETA,/kos/accidentes/caída-bicicleta,CONDUCTOR,HOMBRE,HL                                      ,25-29
2017-7738,15/08/2017,21:00-21:59,MARTES,Fuencarral-El Pardo,https://www.wikidata.org/wiki/Q656196,calle de Nuestra Señora de Valverde,"40.498805555556,-3.6864777777778",https://www.wikidata.org/wiki/Q56256719,,,182,false,false,false,true,false,false,false,false,true,1,CAÍDA BICICLETA,/kos/accidentes/caída-bicicleta,CONDUCTOR,HOMBRE,HL                                      ,18-20
